Name,Liver_DSC,kidney_DSC,Spleen_DSC,Pancreas_DSC,Liver_NSD,kidney_NSD,Spleen_NSD,Pancreas_NSD
ABD_066.nii.gz,0.9773,0.8991,0.9844,0.8782,0.8891,0.8505,1.0,0.9503
ABD_067.nii.gz,0.9037,0.9544,0.8684,0.8731,0.5847,0.9422,0.8229,0.971
ABD_068.nii.gz,0.9718,0.9366,0.9784,0.9336,0.7956,0.8749,0.9966,0.9922
ABD_069.nii.gz,0.959,0.9817,0.9619,0.9299,0.7658,0.9765,0.9885,0.9762
ABD_070.nii.gz,0.9648,0.968,0.9831,0.8966,0.7695,0.9592,0.9854,0.9644
ABD_071.nii.gz,0.9427,0.9605,0.9845,0.912,0.6213,0.9165,0.9994,0.9835
ABD_072.nii.gz,0.9554,0.9773,0.9896,0.9152,0.7143,0.9731,0.9996,0.954
ABD_073.nii.gz,0.9597,0.9867,0.7315,0.9568,0.6774,0.9822,0.631,0.9986
ABD_074.nii.gz,0.9522,0.9745,0.9892,0.741,0.7102,0.9509,0.9998,0.8868
ABD_075.nii.gz,0.9719,0.9827,0.9716,0.9255,0.788,0.9401,0.9493,0.964
ABD_076.nii.gz,0.9683,0.978,0.9778,0.912,0.7402,0.9252,0.9696,0.9642
ABD_077.nii.gz,0.9643,0.9722,0.98,0.9051,0.6901,0.9601,0.9994,0.9518
ABD_078.nii.gz,0.9742,0.9749,0.9662,0.9206,0.8215,0.9491,0.9994,0.9595
ABD_079.nii.gz,0.981,0.9711,0.9838,0.8508,0.9018,0.9565,0.9992,0.9431
ABD_080.nii.gz,0.9902,0.9833,0.9927,0.7981,0.957,0.9746,1.0,0.915
ABD_081.nii.gz,0.9751,0.9791,0.9853,0.8454,0.8938,0.9552,1.0,0.9793
ABD_082.nii.gz,0.9918,0.9654,0.9888,0.8778,0.9616,0.9404,1.0,0.9727
ABD_083.nii.gz,0.991,0.9738,0.9868,0.8089,0.9584,0.9656,0.9998,0.9001
ABD_084.nii.gz,0.99,0.9619,0.9861,0.6953,0.9461,0.9436,0.9996,0.7989
ABD_085.nii.gz,0.9887,0.9699,0.9731,0.865,0.9471,0.9611,0.9909,0.9498
ABD_086.nii.gz,0.9926,0.96,0.9751,0.8643,0.9702,0.9458,0.9798,0.9638
ABD_087.nii.gz,0.9922,0.9561,0.9842,0.7539,0.9721,0.9584,0.9999,0.9043
ABD_088.nii.gz,0.9734,0.9704,0.988,0.8068,0.8432,0.9527,0.9981,0.8127
ABD_089.nii.gz,0.9911,0.9709,0.9752,0.8719,0.9663,0.9637,1.0,0.9685
ABD_090.nii.gz,0.9867,0.9646,0.9888,0.6601,0.9479,0.97,1.0,0.7141
ABD_091.nii.gz,0.9912,0.9726,0.9846,0.7401,0.964,0.9421,0.9893,0.7701
ABD_092.nii.gz,0.9849,0.9577,0.986,0.4369,0.9146,0.9318,0.9998,0.5987
ABD_093.nii.gz,0.9831,0.9555,0.9753,0.6881,0.932,0.9484,0.9905,0.7613
ABD_094.nii.gz,0.9887,0.9654,0.9818,0.7588,0.9582,0.9526,0.9986,0.8028
ABD_095.nii.gz,0.9913,0.9506,0.9782,0.7994,0.9668,0.9453,1.0,0.8772
ABD_096.nii.gz,0.9875,0.9663,0.9822,0.7722,0.9399,0.9409,1.0,0.8627
ABD_097.nii.gz,0.9902,0.971,0.9702,0.9038,0.9621,0.9775,1.0,0.9963
ABD_098.nii.gz,0.986,0.9572,0.974,0.7897,0.9316,0.9684,0.9512,0.8597
ABD_099.nii.gz,0.9894,0.9712,0.9815,0.7631,0.9486,0.9529,0.9999,0.7968
ABD_100.nii.gz,0.9806,0.965,0.9706,0.7982,0.8851,0.9285,0.97,0.8749
